2.669999999999999929e+01	2.330000000000000071e+01	3.119999999999999929e+01
2.700000000000000000e+01	2.330000000000000071e+01	3.169999999999999929e+01
2.589999999999999858e+01	2.269999999999999929e+01	3.019999999999999929e+01
2.430000000000000071e+01	2.110000000000000142e+01	2.850000000000000000e+01
2.180000000000000071e+01	1.819999999999999929e+01	2.619999999999999929e+01
2.080000000000000071e+01	1.680000000000000071e+01	2.580000000000000071e+01
2.010000000000000142e+01	1.600000000000000000e+01	2.539999999999999858e+01
2.089999999999999858e+01	1.650000000000000000e+01	2.650000000000000000e+01
2.219999999999999929e+01	1.810000000000000142e+01	2.750000000000000000e+01
2.369999999999999929e+01	2.000000000000000000e+01	2.860000000000000142e+01
2.419999999999999929e+01	2.100000000000000000e+01	2.850000000000000000e+01
2.580000000000000071e+01	2.239999999999999858e+01	3.010000000000000142e+01
